,0
811, ingeniarse
812, inhabilitar
813, iniciar
814, inmolar
815, inmovilizar
816, innovar
817, inquirir
818, insistir
819, inspirar
820, instalar
821, instaurar
822, instruir
823, insultar
824, integrar
825, intercambiar
826, interesar
827, interrogar
828, interrumpir
829, intervenir
830, intitular
831, intimidar
832, invadir
833, invertir
834, investigar
835, invitar
836, involucrar
837, ir
838, jubilar
839, justificar
840, juzgar
841, lanzar
842, lavar
843, lamentar
844, largar
845, lastimar
846, leer
847, legalizar
848, llenar
849, llegar
850, limitar
851, llorar
852, lograr
853, luchar
854, lucrar
855, madurar
856, manejar
857, manifestar
858, manipular
859, marcar
860, marchar
861, medir
862, mejorar
863, mencionar
864, mermar
865, mimar
866, mirar
867, moderar
868, molestarse
869, motivar
870, mover
871, mudar
872, multiplicar
873, narrar
874, navegar
875, necesitar
876, negar
877, notificar
878, obligar
879, observar
880, obtener
881, obrar
882, ocupar
883, ofendre
884, ofrecer
885, oír
886, olfatear
887, olvidar
888, abrir
889, obedecer
890, ofender
891, oponerse
892, ordenar
893, organizar
894, originar
895, oxidar
896, padecer
897, pagar
898, palpar
899, parar
900, participar
901, pasar
902, patentar
903, patinar
904, patrocinar
905, pegar
906, pelar
907, penalizar
908, pensar
909, percibir
910, perder
911, perseverar
912, persuadir
913, picar
914, pintar
915, pisar
916, planchar
917, plantar
918, plasmar
919, soportar
920, jugar
921, trabajar
922, plasticar
923, platinar
924, agradar
925, hurtar
926, apuntar
927, rectificar
928, permitir
929, recibir
930, burlar
931, sumar
932, conversar
933, constituir
934, planear
935, preocupar
936, presenciar
937, preparar
938, presentar
939, preservar
940, presionar
941, presupuestar
942, pretender
943, prevenir
944, privar
945, proceder
946, procesar
947, proclamar
948, procrear
949, prohijar
950, prolongar
951, proporcionar
952, propugnar
953, proteger
954, proveer
955, protestar
956, embellecer
957, plantear
958, protocolizar
959, puntualizar
960, purificar
961, quemar
962, poner
963, quitar
964, quitarle
965, reclamar
966, reconocer
967, recoger
968, recomendar
969, reconciliar
970, recordar
971, recortar
972, reducir
973, referir
974, reforzar
975, reformar
976, refrenar
977, refugiar
978, regatear
979, regenerar
980, registrar
981, rechazar
982, reconstruir
983, reconvertir
984, refinar
985, reflejar
986, regalar
987, regañar
988, regir
989, regresar
990, regular
991, rehacer
992, rehabilitar
993, rehusar
994, reivindicar
995, relacionarse
996, relativizar
997, relucir
998, remarcar
999, remediar
1000, remunerar
1001, renegar
1002, renovar
1003, rentar
1004, reñir
1005, reorganizar
1006, restaurar
1007, restringir
1008, retener
1009, retorcer
1010, retratar
1011, reunir
1012, reutilizar
1013, revertir
1014, revisar
1015, reyesar
1016, revivir
1017, revolver
1018, rezar
1019, robar
1020, rodar
1021, rogular
1022, romper
1023, rotar
1024, rozar
1025, saborear
1026, sacrificar
1027, sacudir
1028, sanar
1029, satisfacer
1030, segar
1031, seccionar
1032, secuestrar
1033, seducir
1034, seleccionar
1035, sembrar
1036, sensibilizar
1037, sentar
1038, separar
1039, sermonear
1040, servir
1041, sexuarse
1042, simbolizar
1043, simplificar
1044, solicitar
1045, soñar
1046, solucionar
1047, soplar
1048, sorprender
1049, sujetar
1050, sumergir
1051, superar
1052, subir
1053, subsidiar
1054, sustentar
1055, sustraer
1056, tallar
1057, tambalearse
1058, tamizar
1059, tapizar
1060, teletransportar
1061, tentar
1062, terminar
1063, testear
1064, transportar
1065, trasladar
1066, trascender
1067, traicionar
1068, tranquilizar
1069, transferir
1070, transformar
1071, trasmitir
1072, trastornar
1073, tratar
1074, tropezar
1075, vaciar
1076, vacilizar
1077, validar
1078, valorar
1079, vencer
1080, vender
1081, venerar
1082, ventilizar
1083, ver
1084, verbalizar
1085, vestir
1086, vigilar
1087, visitar
1088, visualizar
1089, vivir
1090, vociferar
1091, votar
1092, vulnerar
1093, yacer.
